county,race_female_total_2010,race_female_white_2010,race_female_black_2010,race_female_hispanic_2010,race_female_other_2010,geo,race_female_total_2011,race_female_white_2011,race_female_black_2011,race_female_hispanic_2011,race_female_other_2011,race_female_total_2012,race_female_white_2012,race_female_black_2012,race_female_hispanic_2012,race_female_other_2012,race_female_total_2013,race_female_white_2013,race_female_black_2013,race_female_hispanic_2013,race_female_other_2013,race_female_total_2014,race_female_white_2014,race_female_black_2014,race_female_hispanic_2014,race_female_other_2014
KNOX ,1884,1208,124,542,10,0500000US48275,1851,1173,111,542,25,2461,1545,148,733,35,1927,1196,120,587,24,1884,1208,124,542,10
LAMAR ,25749,19884,3767,1562,536,0500000US48277,25915,19517,3613,1642,1143,26045,19561,3645,1681,1158,25885,19261,3641,1770,1213,25749,19884,3767,1562,536
LAMB ,7013,3134,288,3542,49,0500000US48279,7061,3054,276,3626,105,7080,3029,277,3668,106,6863,2882,270,3615,96,7013,3134,288,3542,49
LAMPASAS ,9972,7700,325,1684,263,0500000US48281,10090,7575,288,1755,472,10196,7638,290,1789,479,10359,7672,301,1886,500,9972,7700,325,1684,263
LA SALLE ,2797,438,1,2345,13,0500000US48283,2873,439,1,2410,23,2971,448,1,2496,26,2982,444,1,2518,19,2797,438,1,2345,13
LAVACA ,9847,7608,657,1510,72,0500000US48285,9971,7618,646,1574,133,10087,7684,652,1617,134,9904,7474,653,1637,140,9847,7608,657,1510,72
LEE ,8202,5485,897,1758,62,0500000US48287,8233,5442,833,1800,158,8338,5483,844,1850,161,8399,5507,839,1883,170,8202,5485,897,1758,62
LEON ,8416,6634,638,1055,89,0500000US48289,8567,6679,616,1105,167,8712,6779,619,1141,173,8492,6570,589,1169,164,8416,6634,638,1055,89
LIBERTY ,38453,27024,4470,6536,423,0500000US48291,38573,26568,4278,6823,904,39049,26804,4310,7014,921,40130,27206,4399,7546,979,38453,27024,4470,6536,423
LIMESTONE ,11262,7158,2097,1921,86,0500000US48293,11402,7146,2019,2003,234,11530,7192,2037,2062,239,11171,6923,1969,2042,237,11262,7158,2097,1921,86
LIPSCOMB ,1640,1136,5,479,20,0500000US48295,1650,1112,5,490,43,1682,1123,5,510,44,1703,1128,3,524,48,1640,1136,5,479,20
LIVE OAK ,5336,3343,28,1917,48,0500000US48297,5421,3341,21,1975,84,5549,3397,21,2045,86,5456,3311,20,2038,87,5336,3343,28,1917,48
LLANO ,9972,9010,51,806,105,0500000US48299,10077,9010,41,829,197,10230,9131,42,857,200,10184,9087,37,857,203,9972,9010,51,806,105
LOVING ,36,26,0,9,1,0500000US48301,36,25,0,10,1,35,24,0,10,1,36,24,0,11,1,36,26,0,9,1
LUBBOCK ,141045,82426,10577,44388,3654,0500000US48303,143068,81810,10187,45838,5233,145307,82670,10359,46936,5342,147093,82228,10509,48601,5755,141045,82426,10577,44388,3654
LYNN ,2968,1560,51,1336,21,0500000US48305,2965,1534,46,1346,39,2982,1541,47,1355,39,2894,1464,50,1343,37,2968,1560,51,1336,21
MCCULLOCH ,4226,2914,69,1213,30,0500000US48307,4224,2879,60,1236,49,,,,,,4222,2843,56,1269,54,4226,2914,69,1213,30
MCLENNAN ,120737,72118,18900,27324,2395,0500000US48309,122356,71344,18362,28534,4116,,,,,,124067,70542,18737,30410,4378,120737,72118,18900,27324,2395
MCMULLEN ,340,215,3,119,3,0500000US48311,399,250,4,139,6,,,,,,390,244,3,137,6,340,215,3,119,3
MADISON ,5791,3815,962,936,78,0500000US48313,5827,3795,940,958,134,5844,3778,948,984,134,5968,3847,943,1036,142,5791,3815,962,936,78
MARION ,5375,3837,1302,164,72,0500000US48315,5381,3772,1277,162,170,5450,3814,1290,170,176,5293,3686,1262,171,174,5375,3837,1302,164,72
