county,white_percent,white_number,black_percent,black_number,hispanic_percent,hispanic_number,other_percent,other_number,geo,county2,county2_2,Urbanization Status,Border Status,county22
Montgomery,69.4,"14,046",56.2,801,56.1,"5,457",59.8,"1,027",0500000US48339,Montgomery,MONTGOMERY,Urban,Non-Border,MONTGOMERY
Moore,69.5,335,*,15,51.3,660,27.7,81,0500000US48341,Moore,MOORE,Rural,Non-Border,MOORE
Morris,61.9,297,55,93,49.1,55,*,10,0500000US48343,Morris,MORRIS,Rural,Non-Border,MORRIS
Motley,*,18,--,0,*,**,--,0,0500000US48345,Motley,MOTLEY,Rural,Non-Border,MOTLEY
Nacogdoches Cnty,68.8,"1,391",47.7,420,55.9,740,48.5,83,0500000US48347,Nacogdoches Cnty,NACOGDOCHES,Rural,Non-Border,NACOGDOCHES
Navarro,62.6,956,44.1,222,37.5,485,21.3,27,0500000US48349,Navarro,NAVARRO,Rural,Non-Border,NAVARRO
Newton,63.9,318,58.4,73,*,**,79.4,27,0500000US48351,Newton,NEWTON,Urban,Non-Border,NEWTON
Nolan,72.9,382,62.3,33,62.7,272,*,**,0500000US48353,Nolan,NOLAN,Rural,Non-Border,NOLAN
Nueces,67.7,"4,096",57,387,60.6,"9,867",64.7,388,0500000US48355,Nueces,NUECES,Urban,Non-Border,NUECES
Ochiltree,68.3,213,*,**,39.7,219,*,**,0500000US48357,Ochiltree,OCHILTREE,Rural,Non-Border,OCHILTREE
Oldham,75.2,79,--,0,*,**,*,**,0500000US48359,Oldham,OLDHAM,Urban,Non-Border,OLDHAM
Orange Cnty,69.7,"2,667",54.4,270,62.1,239,59,95,0500000US48361,Orange Cnty,ORANGE,Urban,Non-Border,ORANGE
Palo Pinto,72.5,901,*,17,57.4,299,62.2,23,0500000US48363,Palo Pinto,PALO PINTO,Rural,Non-Border,PALO PINTO
Panola,63.6,597,48.5,100,38.3,80,77.1,54,0500000US48365,Panola,PANOLA,Rural,Non-Border,PANOLA
Parker,74.9,"4,218",66,35,51.4,514,62.8,81,0500000US48367,Parker,PARKER,Urban,Non-Border,PARKER
Parmer,70.9,134,*,**,43.9,221,*,**,0500000US48369,Parmer,PARMER,Rural,Non-Border,PARMER
